number	SMILE	Name
37	CC(=O)NC1CCN(CC1)C(=O)NC2=C(C=CC(=C2)C3=CC=CS3)N	SCHEMBL13833463
38	CC(C)(C)C1=CN=C(O1)CSC2=CN=C(S2)NC(=O)C3CCNCC3	SNS-032
39	C1=CC=C2C(=C1)C=CC3=C2C=CC(=C3)C4=CC(=NN4C5=CC=C(C=C5)NC(=O)CN)C(F)(F)F	OSU-03012
40	CN1C(=O)C(NC1=S)CC2=CNC3=CC=CC=C32	Necrostatin-1
41	CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C	BI 2536
42	B(CCSC[C@H](C(=O)O)N)(O)O	BRD-K53792571-003-01-6
43	CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C.C1CC(C1)(C(=O)O)C(=O)O.[Pt]	JQ1 + SCHEMBL2671349
44	CCC1CCC2[C@@H](C([C@H](C3(O2)CC[C@H](C(O3)C[C@H](C)O)C)C)OC(=O)/C=C/[C@H]([C@@H]([C@H](C(=O)[C@@H]([C@H]([C@@H](C(=O)[C@@]([C@@H]([C@H](C/C=C/C=C1)C)O)(C)O)C)O)C)C)O)C)C	MNULEGDCPYONBU-PAMDCEDJSA-N
45	C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F	gemcitabine
46	CN(C)C(=O)N1C(=NN=N1)CC2=CC=C(C=C2)C3=CC=CC=C3	LY2183240
47	C1=CC(=C(C=C1NC2=C(C=NC3=C(C=C(C=C32)NCC4=CN=CN4)Cl)C#N)Cl)F	CHEMBL436817
48	C1=CC=C2C(=C1)C(=CN2)CCNC3=CC=C(C=C3)NC4=CC=NC=C4	Serdemetan
49	CC(C)N1CCC(CC1)NC2=NC(=NC3=CC(=C(C=C32)OC)OCCCN4CCCC4)C5CCCCC5.C1CC(C1)(C(=O)O)C(=O)O.[Pt]	UNC-0638 + SCHEMBL2671349
50	B([C@H](CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O	Ixazomib
51	CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)/C=C/C(=O)NO	Panobinostat
52	CC1=C(N=CN1)CSCCNC(=NC)NC#N	cimetidine
53	C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O	Mirdametinib
54	C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC	tacrolimus
55	C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)NC3CCCCC3)O[C@H]1CN(C)C(=O)NC4=CC=CC5=CC=CC=C54)[C@@H](C)CO	BRD-K52037352-001-01-6
56	CC1=NC=C(C=C1)OC2=C(C=C(C=C2)NC3=NC=NC4=C3C=C(C=C4)/C=C/CNC(=O)COC)C	CP-724714
57	CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCC[C@H]4CCO	Dinaciclib
58	C1C/C(=N/O)/C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)CCO	GDC-0879
59	CC(C)C1=CC=CC=C1CC2=C(C(=C(C(=C2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)C4=CC=CC=C4C(C)(C)C)O)O)O	TW-37
60	CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)OCCN4CCCC4	Fedratinib
61	CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C.CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C	retinol + Navitoclax
62	CCCCCCCCCC[C@H]1[C@@H](OC1=O)CCC2=CC(=C(C=C2)OC)OC	Palmostatin B
63	CC1=CC=C(C=C1)C2=C(N(C3=C2C(=NC=N3)N)CCCO)C(=O)CF	RSK inhibitor Fmk
64	C[C@H]1CN(C(=O)C2=C(C=CC(=C2)NC(=O)CC3=CN(C4=CC=CC=C43)C)O[C@@H]1CN(C)C(=O)NC5CCCCC5)[C@H](C)CO	N-[(2S,3S)-2-[[[(cyclohexylamino)-oxomethyl]-methylamino]methyl]-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-8-yl]-2-(1-methyl-3-indolyl)acetamide
65	C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N	Lenalidomide
66	CC1=CC2=C(C=C1)N=C(C3=NC=C(N23)C)NCCN.Cl	BMS-345541;CC1=CC2=C(C=C1)N=C(C3=NC=C(N23)C)NCCN.Cl
67	CCCC[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@]2(CCC/C=C\CCC[C@](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CCCNC(=N)N)CC(C)C)[C@@H](C)O)(C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC3=CN=CN3)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)C)C	HHDWUYJENPRCSP-UTTPPHFYSA-N
68	CC(C)N1C=NC2=C1N=C(N=C2NCC3=CC=CC=C3)NCCO	N9-ISOPROPYL-OLOMOUCINE
69	CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OC[C@@H](C)O)C	Brivanib
70	COC1=CC=C(C=C1)[C@]23[C@@H]([C@H]([C@H]([C@]2(C4=C(C=C(C=C4O3)OC)OC)O)O)C(=O)NOC)C5=CC=CC=C5	CHEMBL2058177
71	CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O	Bendamustine
72	CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl	SB-216763
73	C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC.CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@](C3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O	Tanespimycin + Docetaxel (Taxotere)
74	C1CCN(CC1)S(=O)(=O)C2=CC3=C(C=C2)C4=C(C3=NO)C=C(C=C4)S(=O)(=O)N5CCCCC5	CIL56
75	CC1=C(C=C(C=C1)N2C(=O)C=CC3=CN=C4C=CC(=CC4=C32)C5=CNN=C5)NC(=O)C=C	N-[2-methyl-5-[2-oxo-9-(1H-pyrazol-4-yl)-1-benzo[h][1,6]naphthyridinyl]phenyl]-2-propenamide
76	C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCC4=CN=CN4)Br	BX-912
77	COC1=C(C=C(C=C1)CS(=O)(=O)/C=C/C2=C(C=C(C=C2OC)OC)OC)NCC(=O)O	Rigosertib
78	C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC.C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F	Tanespimycin + gemcitabine
79	CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)/C=C/CN(C)C	Neratinib
80	CCCCC1=CC2=C(C=C1)N=C(N2)NC(=O)OC	Parbendazole
81	C[C@]12CC[C@@H]3[C@H]4CC[C@@H](C[C@@H]4CC[C@H]3[C@@H]1CC=C2C5=CC6=C(C=C5)C=NC=C6)N(C)C	SCHEMBL11942935
82	C[C@H]1C[C@@H](OC1=O)[C@H]([C@H](C2=C(C3=C(C=C2)[C@@H]4C[C@H]([C@]56[C@@H](OC[C@H](O5)C[C@@]6([C@H]4C3=O)C)O)Br)C)C(Cl)Cl)O	CHEMBL3183639
83	C[C@H](C1=CC=CC=C1)NC(=O)C[C@@H]2CC[C@H]([C@@H](O2)CO)NC(=O)CN3CCOCC3	BRD-K09587429-001-01-3
84	CCN1CCN(CC1)C(C2=CC=C(C=C2)C(F)(F)F)C3=C(C4=C(C=CC=N4)C=C3)O	ML311
85	C1=CC2=C(C(=O)/C(=N/NC3=CC4=C(C=C3)C=C(C=C4)S(=O)(=O)O)/C=C2S(=O)(=O)O)N=C1	NSC87877
86	CN(C1CCS(=O)(=O)C1)C(=O)COC(=O)/C=C/C2=CC(=CC=C2)[N+](=O)[O-]	CID5951923
87	CC(=O)N(C1=CC=C(C2=CC=CC=C21)OC(=O)C)S(=O)(=O)C3=CC(=C(C=C3)OC)[N+](=O)[O-]	SMR000198998
88	CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO.CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6	Selumetinib + GDC-0941
89	CCN(CC)CCCC(C)NC1=NC(=CC(=N1)NC2=CC3=C(C=C2)N=C(C=C3N)C)C	Nsc 23766
90	CC1=C2C(=CN=C1)C=CC=C2S(=O)(=O)N[C@@H]3C[C@H](NC3)CNC(=O)C	CHEMBL2203525
91	CC1=C(SC(=N1)NC(=O)C)S(=O)(=O)NC2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O	SR1001
92	C[C@@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CCC(C)C)O[C@H]1CN(C)C(=O)C3=NC=CN=C3)[C@H](C)CO	N-[[(4R,5R)-2-[(2R)-1-hydroxypropan-2-yl]-4-methyl-8-(4-methylpent-1-ynyl)-1,1-dioxo-4,5-dihydro-3H-6,1$l^{6},2-benzoxathiazocin-5-yl]methyl]-N-methyl-2-pyrazinecarboxamide
93	CC(C1=CC=CC=C1)NC2=NC(=NC3=CC=CC=C32)N4CCCC4	importazole
94	CC1=C(C(=NO1)C(=O)N2CCN(CC2)C(C3=CC=C(C=C3)Cl)C4=CC=C(C=C4)Cl)[N+](=O)[O-]	ML-210
95	C1=C(SC=C1Br)COC2=NC(=NC3=C2NC=N3)N	Lomeguatrib
96	CC1=CC2=C(C=C1)N=C(C3=NC=C(N23)C)NCCN	BMS-345541;CC1=CC2=C(C=C1)N=C(C3=NC=C(N23)C)NCCN
97	CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O	vinblastine
98	CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C4C(=N3)N(C5=CC=CC=C5C(=O)N4C)C)OC	ERK5-IN-1
99	CN1C(=O)N2C=NC(=C2N=N1)C(=O)N	temozolomide
100	CC1(CCC(C2=C1C=CC(=C2)C(=O)NC3=CC=C(C=C3)C(=O)O)(C)C)C	AM580
101	CCNC1=NC(=NC(=C1)NC2CCC(CC2)O)NC3=CC4=C(C=C3)N(C=C4)CC5=CC=CC=C5	Cdk4/6 Inhibitor IV
102	CC(C)C[C@H]([C@@H](C(=O)NO)O)C(=O)N[C@@H](C1=CC=CC=C1)C(=O)OC2CCCC2	Tosedostat
103	CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC=C2)C(F)(F)F)N3CC4=CN=C(N=C4N(C3=O)C)NC5=CC(=NN5C)C	Pluripotin
104	CCOC(=O)C1=C(C2=C(N1C)C(=C(C=C2)Cl)Cl)C(=CN)C#N	CHEMBL3185999
105	C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl	chlorambucil
106	CC1=C(C(=CC=C1)C)OC(=O)N(C2=C(C=C(C=C2)OC)OC)C3=NC(=NC=C3)NC4=CC=C(C=C4)N5CCN(CC5)C	WH-4-023
107	COC(=O)CNC(=O)C(=O)OC	DMOG
108	CC1(CC2=C(C(=O)C1)C(=NN2C3=CC(=C(C=C3)C(=O)N)NC4CCC(CC4)O)C(F)(F)F)C	SNX-2112
109	COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OCCCN5CCOCC5	ZM-447439
110	C1=CC=C(C=C1)[C@H](COC2=CC3=C(C=C2)NC(=O)N3)NC(=O)C4=CC=CN(C4=O)CC5=CC(=C(C=C5)F)F	PDK1 inhibitor
111	CC[C@@H](C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5	Idelalisib
112	COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O[C@H]6[C@@H]([C@H](C7[C@H](O6)CO[C@H](O7)C8=CC=CS8)O)O	Teniposide [USAN]
113	C1=CC=C(C(=C1)C2=CC3=C(C4=C(N3)C=CC(=C4)O)C5=C2C(=O)NC5=O)Cl	Wee1 Inhibitor
114	C[C@@H]1CN(C(=O)C2=C(C=CC(=C2)NC(=O)NC(C)C)O[C@H]1CN(C)S(=O)(=O)C3=CC=C(C=C3)Cl)[C@H](C)CO	CHEMBL2356172
115	C1=CC=C(C=C1)COC2=CC3=C(C=C2)NC(=C3)C(=O)O	CHEMBL24850
116	C=CCC1=CC=C/C(=C/NNC(=O)CN2CCN(CC2)CC3=CC=CC=C3)/C1=O	N'-[(6-oxo-5-prop-2-enyl-1-cyclohexa-2,4-dienylidene)methyl]-2-[4-(phenylmethyl)-1-piperazinyl]acetohydrazide;C=CCC1=CC=C/C(=C/NNC(=O)CN2CCN(CC2)CC3=CC=CC=C3)/C1=O
117	CCN1CCC(CC1)N2C=C(N=N2)CNC3=CC(=C4C(=C3)C(=C(C=N4)C#N)NC5=CC(=C(C=C5)F)Cl)Cl	Cot inhibitor-2
118	C[C@@]12C[C@H](C([C@]1(CC(=O)[C@@]3(C2CC=C4C3CC(=O)C(=O)C4(C)C)C)C)[C@](C)(C(=O)/C=C/C(C)(C)O)O)O	BRD-A28105619-001-01-3
119	C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F	Olaparib
120	CCC(=O)OCN1C(=O)C=CC1=O	MIRA-1
121	C1=CC(=CC=C1C2=C(C=NN2)C=C3C(=O)N(C(=N)S3)C4=NC=CS4)F	TCMDC-123515
122	CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C	Venetoclax
123	CC1=CC=C(C=C1)C(=O)CN2C3=C(CCCC3)SC2=N	pifithrin
124	CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@](C3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O	Docetaxel (Taxotere)
125	C/C=C/C/C=C/CCC(=O)[C@@H]1[C@@H](O1)C(=O)N	cerulenin
126	CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C.CC(C)N1CCC(CC1)NC2=NC(=NC3=CC(=C(C=C32)OC)OCCCN4CCCC4)C5CCCCC5	JQ1 + UNC0638
127	C1C=CC2C1C(NC3=CC=CC=C23)C4=CC5=C(C=C4Br)OCO5	SCHEMBL916391
128	CC/C(=C/[C@H](C)C/C=C/C(=C/[C@@H](C)C(=O)[C@@H](C)[C@@H]([C@@H](C)C/C(=C/C(=O)O)/C)O)/C)/C=C/[C@H]1[C@H](C=CC(=O)O1)C	Leptomycin B
129	C1COCCC1N2C3=C(C(=N2)COC4=CC(=CC=C4)Cl)C(=NC=N3)N	PF-4800567
130	COC1=CC=C(C=C1)C#CC2=CCCN(C2=O)C(=O)/C=C/C3=CC(=C(C(=C3)OC)OC)OC	SCHEMBL15422028
131	CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N	Pazopanib
132	C1COCCN1C2=CC(=CC(=C2)C3=NC(=NC=C3)NC4=CC=C(C=C4)N5C=NC(=N5)N6CCOCC6)F	CHEMBL585951
133	CC1=C2[C@H](C3=C(CC(CC3=O)(C)C)N=C2NN1)C4=CC=CC=C4	SCHEMBL16479156
134	C1CN(CCN1C2=NC=NC3=C2OC4=CC=CC=C43)C(=S)NCC5=CC6=C(C=C5)OCO6	Amuvatinib
135	COC1=CC(=CC(=C1)C2=CC3=C4C(=CN=C3C=C2)C=CC(=O)N4C5=CC(=C(C=C5)N6CCNCC6)C(F)(F)F)OC	SCHEMBL6874948
136	C1CCC(C1)C2=C(C=CC(=C2)C3=CNC4=NC=C(C=C34)C5=CC=CC=C5)C(=O)O	GSK-650394
137	CCCCCCCCCCC(C)(C)C(=O)NC1=C(C=C(C=C1OC)OC)OC	CI 976
138	CC1[C@@H]([C@H]([C@@H]([C@@H](O1)OCC2[C@H]([C@H]([C@@H]([C@@H](O2)O[C@H]3CC[C@]4(C(C3(C)C)CC[C@@]5(C4CC=C6[C@]5(C[C@H]([C@@]7(C6CC([C@H](C7)OC(=O)/C(=C/CC[C@@](C)(C=C)O[C@H]8[C@H]([C@@H]([C@@H](C(O8)C)OC(=O)/C(=C/CCC(C)(C=C)O)/CO)O)O)/CO)(C)C)C(=O)O[C@H]9[C@H]([C@@H]([C@@H](C(O9)CO)O)O)O[C@H]1[C@H]([C@@H]([C@H](C(O1)C)O[C@H]1[C@H]([C@H]([C@@H](O1)CO)O)O)O[C@H]1[C@H]([C@@H]([C@@H](C(O1)CO)O)O)O)O)O)C)C)C)NC(=O)C)O)O)O[C@H]1[C@H]([C@@H]([C@@H](CO1)O)O)O)O)O	BRD-A15100685-001-01-8
139	C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O	thalidomide
